Times (us),interval (us),strain (raw),sensorValue0 (raw)
10749164,12500,2296203,290
10761664,12500,2299127,290
10774168,12504,2298664,290
10786672,12504,2295457,290
10799176,12504,2294815,290
10811676,12500,2297905,290
10824176,12500,2299302,290
10836676,12500,2297232,290
10849180,12504,2294200,290
10861680,12500,2293875,290
10874184,12504,2296836,290
10886684,12500,2299041,290
10899184,12500,2294804,290
10911684,12500,2293582,290
10924188,12504,2295400,290
10936688,12500,2298290,290
10949188,12500,2298908,290
10961688,12500,2296521,290
10974188,12500,2293934,290
10986688,12500,2294274,290
10999188,12500,2297055,290
11011688,12500,2297655,290
11024188,12500,2294584,290
11036688,12500,2293397,290
11049188,12500,2295772,290
11061692,12504,2299179,290
11074192,12500,2299298,290
11086692,12500,2295895,290
11099192,12500,2292975,290
11111692,12500,2297657,290
11124196,12504,2299986,290
11136700,12504,2298197,290
11149200,12500,2294423,290
11161700,12500,2292812,290
11174204,12504,2295275,290
11186704,12500,2299050,290
11199204,12500,2299702,290
11211708,12504,2292122,290
11224212,12504,2293402,290
11236712,12500,2298403,290
11249216,12504,2300878,290
11261716,12500,2298091,290
11274220,12504,2293127,290
11286720,12500,2291688,290
11299224,12504,2295636,290
11311724,12500,2300491,290
11324224,12500,2295531,290
11336724,12500,2291346,290
11349224,12500,2293174,290
11361724,12500,2298674,290
11374224,12500,2301309,290
11386724,12500,2298273,290
11399224,12500,2292896,290
11411724,12500,2291281,290
11424224,12500,2300477,290
11436728,12504,2300587,290
11449228,12500,2296352,290
11461728,12500,2292677,290
11474228,12500,2293178,290
11486728,12500,2297361,290
11499228,12500,2300094,290
11511728,12500,2298066,290
11524228,12500,2293898,290
11536728,12500,2295566,290
11549232,12504,2299554,290
11561736,12504,2299785,290
11574240,12504,2296206,290
11586740,12500,2292962,290
11599244,12504,2293788,290
11611748,12504,2297180,290
11624248,12500,2299307,290
11636748,12500,2295233,290
11649248,12500,2293939,290
11661752,12504,2295787,290
11674252,12500,2299381,290
11686756,12504,2302216,290
11699260,12504,2303529,290
11711760,12500,2304541,290
11724264,12504,2305820,290
11736764,12500,2308143,290
11749264,12500,2314788,290
11761764,12500,2315045,290
11774268,12504,2314030,290
11786768,12500,2313826,290
11799272,12504,2314524,290
11811776,12504,2314969,290
11824276,12500,2314747,290
11836780,12504,2313140,290
11849284,12504,2305252,290
11861784,12500,2298732,290
11874288,12504,2287193,290
11886792,12504,2275249,290
11899292,12500,2276747,290
11911792,12500,2288929,290
11924296,12504,2291623,290
11936796,12500,2280589,290
11949296,12500,2273989,290
11961796,12500,2292036,290
11974296,12500,2286860,290
11986800,12504,2275623,290
11999304,12504,2276845,290
12011808,12504,2287846,290
12024308,12500,2290417,290
12036812,12504,2281321,290
12049316,12504,2276311,289
12061820,12504,2289178,290
12074320,12500,2285705,290
