Times (us),interval (us),strain (raw),sensorValue0 (raw)
10151632,12500,2419348,290
10164132,12500,2424618,290
10176636,12504,2430321,290
10189140,12504,2435725,290
10201640,12500,2440159,290
10214140,12500,2443639,290
10226640,12500,2446184,290
10239140,12500,2450891,290
10251640,12500,2453507,290
10264140,12500,2455112,290
10276640,12500,2455938,290
10289140,12500,2456978,290
10301640,12500,2458023,290
10314140,12500,2458358,290
10326640,12500,2458588,290
10339140,12500,2458928,290
10351640,12500,2459659,290
10364140,12500,2460307,290
10376640,12500,2461294,290
10389140,12500,2461880,290
10401640,12500,2462055,290
10414140,12500,2462688,290
10426640,12500,2463830,290
10439140,12500,2464933,290
10451640,12500,2466121,290
10464144,12504,2466790,290
10476644,12500,2467843,290
10489148,12504,2469282,290
10501648,12500,2470716,290
10514152,12504,2471859,290
10526656,12504,2472465,290
10539156,12500,2472705,290
10551660,12504,2472407,290
10564160,12500,2470908,290
10576660,12500,2470124,290
10589160,12500,2469757,290
10601660,12500,2469867,290
10614160,12500,2470048,290
10626660,12500,2469900,290
10639160,12500,2469892,290
10651660,12500,2469699,290
10664164,12504,2468460,290
10676664,12500,2467979,290
10689164,12500,2467792,289
10701668,12504,2468403,290
10714168,12500,2469296,290
10726668,12500,2470277,290
10739168,12500,2471126,290
10751672,12504,2471645,290
10764172,12500,2470963,290
10776676,12504,2469804,290
10789180,12504,2469125,290
10801684,12504,2468935,290
10814184,12500,2468637,290
10826688,12504,2468534,290
10839188,12500,2469039,290
10851688,12500,2469723,290
10864192,12504,2470195,290
10876696,12504,2471344,290
10889200,12504,2472008,290
10901700,12500,2472939,290
10914200,12500,2473729,290
10926704,12504,2474277,290
10939208,12504,2474776,290
10951708,12500,2474502,290
10964208,12500,2473817,290
10976708,12500,2471810,290
10989208,12500,2470278,290
11001712,12504,2469786,290
11014212,12500,2469911,290
11026712,12500,2470998,290
11039216,12504,2473290,289
11051716,12500,2476276,290
11064220,12504,2479747,290
11076720,12500,2483697,290
11089220,12500,2493280,289
11101724,12504,2499367,290
11114224,12500,2506148,290
11126724,12500,2513735,290
11139224,12500,2522153,289
11151724,12500,2531521,290
11164224,12500,2541321,290
11176724,12500,2552034,290
11189224,12500,2580294,290
11201724,12500,2602027,290
11214228,12504,2633017,290
11226732,12504,2673257,290
11239232,12500,2720163,290
11251732,12500,2772073,290
11264232,12500,2827560,290
11276732,12500,2884192,290
11289236,12504,2940012,289
11301740,12504,3048601,289
11314240,12500,3105295,290
11326740,12500,3163782,290
11339244,12504,3223143,289
11351748,12504,3282625,289
11364252,12504,3341521,290
11376752,12500,3398920,290
11389252,12500,3453492,289
11401756,12504,3546857,289
11414256,12500,3583295,290
11426760,12504,3614388,290
11439260,12500,3642268,289
11451760,12500,3670384,289
11464260,12500,3702157,290
11476764,12504,3737729,290
11489268,12504,3775686,289
11501768,12500,3814521,289
11514268,12500,3894190,290
11526768,12500,3935247,290
11539268,12500,3978066,289
11551768,12500,4021900,289
11564272,12504,4064042,290
11576776,12504,4102416,290
11589280,12504,4136311,289
11601780,12500,4166186,289
11614280,12500,4218360,290
11626780,12500,4245177,290
11639280,12500,4273565,289
11651780,12500,4301809,289
11664280,12500,4328264,290
11676780,12500,4351313,290
11689280,12500,4371240,289
11701780,12500,4388401,289
11714284,12504,4403408,290
11726784,12500,4434197,290
11739284,12500,4451722,289
11751784,12500,4470646,289
11764284,12500,4490451,290
11776784,12500,4509454,290
11789284,12500,4526016,289
11801788,12504,4540551,289
11814292,12504,4554984,290
11826792,12500,4591492,290
11839296,12504,4614576,289
11851796,12500,4639409,289
11864296,12500,4665008,290
11876796,12500,4689275,290
11889300,12504,4710192,289
11901800,12500,4726350,289
11914300,12500,4736710,289
11926800,12500,4733233,290
11939300,12500,4716372,289
11951800,12500,4687968,289
11964304,12504,4646114,290
11976804,12500,4590641,290
11989304,12500,4522447,289
12001804,12500,4442876,289
12014304,12500,4353257,290
12026804,12500,4253848,290
12039304,12500,4027975,289
12051804,12500,3904105,289
12064304,12500,3773961,290
12076804,12500,3640149,290
12089304,12500,3506117,289
12101804,12500,3375634,289
12114304,12500,3252044,290
12126808,12504,3137334,290
12139316,12508,2933451,289
12151820,12504,2846112,289
12164320,12500,2769368,290
12176820,12500,2701175,290
12189320,12500,2641396,289
12201824,12504,2588540,289
12214324,12500,2538091,290
12226828,12504,2491690,290
12239328,12500,2454019,290
12251832,12504,2401782,289
12264332,12500,2383429,290
12276836,12504,2368890,290
12289336,12500,2356881,290
12301836,12500,2347424,289
12314336,12500,2339581,290
12326836,12500,2331212,290
12339336,12500,2323006,289
12351836,12500,2313100,289
12364336,12500,2312233,290
12376836,12500,2315840,290
12389336,12500,2324710,290
12401836,12500,2335096,289
12414340,12504,2342395,290
12426840,12500,2346521,290
12439344,12504,2350582,290
12451848,12504,2356228,290
12464348,12500,2369161,290
12476848,12500,2375777,290
12489348,12500,2382395,290
12501848,12500,2388405,290
12514352,12504,2392966,290
12526852,12500,2396007,290
12539352,12500,2398000,290
12551856,12504,2398634,290
12564356,12500,2397874,290
12576856,12500,2397385,290
12589356,12500,2396306,290
12601856,12500,2395027,290
12614356,12500,2394139,290
12626860,12504,2393819,290
12639360,12500,2394295,290
12651860,12500,2395666,290
12664360,12500,2397540,290
12676860,12500,2401216,290
12689360,12500,2402255,290
12701864,12504,2402943,290
12714368,12504,2403521,290
12726868,12500,2404910,290
12739368,12500,2406595,290
12751876,12508,2408040,290
12764380,12504,2410042,290
12776880,12500,2415727,290
12789380,12500,2418885,290
12801880,12500,2422507,290
12814384,12504,2426730,290
12826884,12500,2431438,290
12839384,12500,2436733,290
12851884,12500,2442558,290
12864388,12504,2448808,290
12876892,12504,2455411,290
12889392,12500,2468673,290
12901892,12500,2473313,290
12914392,12500,2476114,290
12926892,12500,2478035,290
12939396,12504,2479190,290
12951896,12500,2480213,290
12964400,12504,2481896,290
12976904,12504,2484433,290
12989408,12504,2489996,290
13001912,12504,2492108,290
13014412,12500,2493198,290
13026916,12504,2492701,290
13039416,12500,2490925,290
13051916,12500,2488803,290
13064416,12500,2486687,290
13076916,12500,2485278,290
13089420,12504,2484645,290
13101920,12500,2485283,290
13114424,12504,2487686,290
13126924,12500,2489642,290
13139424,12500,2491367,290
13151928,12504,2494060,290
13164432,12504,2497084,290
13176932,12500,2500257,290
13189432,12500,2503969,290
13201932,12500,2513051,290
13214432,12500,2518419,290
13226932,12500,2523798,290
13239432,12500,2529555,290
13251932,12500,2535859,290
13264432,12500,2542392,290
13276932,12500,2548946,290
13289436,12504,2555663,290
13301936,12500,2574610,290
13314436,12500,2586967,290
13326936,12500,2602168,290
13339440,12504,2621426,290
13351944,12504,2644780,290
13364444,12500,2670519,290
13376944,12500,2698106,290
13389444,12500,2728456,290
13401948,12504,2761112,289
13414448,12500,2835616,290
13426952,12504,2878207,290
13439452,12500,2922335,290
13451952,12500,2966893,289
