Times (us),interval (us),strain (raw),sensorValue0 (raw)
9604180,12500,2388496,289
9616684,12504,2387000,290
9629188,12504,2386445,289
9641688,12500,2387104,289
9654188,12500,2388775,289
9666688,12500,2390801,290
9679188,12500,2392473,289
9691688,12500,2393674,289
9704192,12504,2392821,289
9716692,12500,2390993,290
9729192,12500,2388954,289
9741692,12500,2387273,289
9754192,12500,2386460,289
9766692,12500,2386942,290
9779192,12500,2388249,289
9791696,12504,2392353,289
9804196,12500,2393512,289
9816696,12500,2393752,289
9829196,12500,2392767,289
9841696,12500,2391135,289
9854196,12500,2389258,289
9866700,12504,2387595,289
9879200,12500,2386575,289
9891700,12500,2386783,289
9904200,12500,2390221,289
9916700,12500,2392199,289
9929200,12500,2393680,289
9941704,12504,2394073,288
9954204,12500,2392966,289
9966704,12500,2391225,289
9979204,12500,2389110,289
9991704,12500,2387401,288
10004204,12500,2386738,289
10016704,12500,2388140,289
10029208,12504,2390097,289
10041712,12504,2392059,288
10054216,12504,2393390,289
10066716,12500,2393817,289
10079216,12500,2393089,289
10091716,12500,2391519,288
10104216,12500,2389431,288
10116716,12500,2386726,289
10129216,12500,2386785,289
10141716,12500,2387842,288
10154216,12500,2389665,288
10166720,12504,2391679,289
10179220,12500,2393263,289
10191720,12500,2394167,288
10204220,12500,2393622,288
10216720,12500,2389705,289
10229220,12500,2387591,289
10241724,12504,2386052,288
10254224,12500,2386090,288
10266724,12500,2387393,289
10279228,12504,2389617,289
10291728,12500,2392053,288
10304228,12500,2393780,288
10316732,12504,2394364,289
10329232,12500,2391681,289
10341736,12504,2389131,288
10354240,12504,2386957,288
10366744,12504,2385953,289
10379244,12500,2385936,289
10391744,12500,2387355,288
10404244,12500,2389972,288
10416744,12500,2392436,289
10429244,12500,2394971,289
10441744,12500,2394145,288
10454244,12500,2392113,288
10466744,12500,2389072,289
10479244,12500,2386400,289
10491744,12500,2384947,288
10504248,12504,2385398,288
10516748,12500,2387587,289
10529248,12500,2390566,289
10541748,12500,2395560,288
10554252,12504,2395677,288
10566756,12504,2393756,289
10579256,12500,2390795,289
10591756,12500,2387599,288
10604256,12500,2385349,288
10616760,12504,2384769,289
10629264,12504,2386099,289
10641764,12500,2392086,288
10654264,12500,2394315,288
10666768,12504,2395156,289
10679268,12500,2394195,289
10691768,12500,2392072,288
10704268,12500,2389478,288
10716768,12500,2387162,289
10729272,12504,2385745,289
10741772,12500,2385890,288
10754272,12500,2389717,288
10766772,12500,2392061,289
10779272,12500,2393561,289
10791772,12500,2393992,288
10804272,12500,2393289,288
10816772,12500,2391546,289
10829272,12500,2389458,289
10841776,12504,2387708,288
10854280,12504,2386915,288
10866780,12500,2388036,288
10879284,12504,2389786,289
10891788,12504,2391609,288
10904288,12500,2392940,288
10916788,12500,2393571,288
10929288,12500,2393184,289
10941792,12504,2391959,288
10954292,12500,2389638,288
10966792,12500,2389722,288
10979292,12500,2390862,288
10991792,12500,2392697,288
11004292,12500,2395250,288
11016792,12500,2397491,288
11029292,12500,2398982,288
11041796,12504,2399538,288
11054296,12500,2399539,288
11066796,12500,2399408,288
11079296,12500,2398887,288
11091796,12500,2397296,288
11104296,12500,2394851,288
11116800,12504,2391743,288
11129300,12500,2388320,288
11141800,12500,2385101,288
11154304,12504,2381967,288
11166804,12500,2374368,288
11179304,12500,2368949,288
11191808,12504,2362102,288
11204308,12500,2354385,288
11216812,12504,2346280,288
11229312,12500,2338310,288
11241812,12500,2330521,288
11254316,12504,2322908,288
11266816,12500,2314491,288
11279316,12500,2295068,288
11291816,12500,2284598,288
11304316,12500,2274085,288
11316816,12500,2263866,288
11329316,12500,2254836,289
11341816,12500,2253455,288
11354320,12504,2260419,288
11366824,12504,2264545,288
11379324,12500,2253271,289
11391824,12500,2256293,288
11404328,12504,2263131,288
11416832,12504,2262696,288
11429332,12500,2256008,289
11441832,12500,2253824,288
11454336,12504,2259243,288
11466840,12504,2263478,288
11479340,12500,2260068,289
11491844,12504,2255899,288
11504348,12504,2260925,288
11516848,12500,2261985,288
11529352,12504,2257935,289
11541852,12500,2255313,288
11554352,12500,2257924,288
11566852,12500,2261604,288
11579352,12500,2260677,288
11591856,12504,2255535,288
11604360,12504,2259080,288
11616860,12500,2261940,288
11629360,12500,2259826,288
11641864,12504,2256171,288
11654364,12500,2256520,288
11666868,12504,2260329,288
11679368,12500,2261451,288
11691868,12500,2258130,288
11704368,12500,2257694,288
11716868,12500,2261409,288
11729368,12500,2260798,289
11741868,12500,2256748,288
11754368,12500,2255802,288
11766872,12504,2259227,288
11779372,12500,2261380,289
11791872,12500,2258803,288
11804372,12500,2257161,288
11816876,12504,2260723,288
11829376,12500,2260810,289
11841876,12500,2257472,288
11854376,12500,2256052,288
11866880,12504,2258630,288
11879380,12500,2260913,288
11891880,12500,2259389,288
11904380,12500,2256610,288
11916884,12504,2259916,288
11929388,12504,2260694,289
11941892,12504,2258299,288
11954392,12500,2256419,288
11966896,12504,2257909,288
11979396,12500,2260306,288
11991900,12504,2259969,288
12004400,12500,2257589,288
12016900,12500,2259126,288
12029400,12500,2260666,288
12041904,12504,2259087,288
12054408,12504,2256922,288
12066908,12500,2257539,288
12079408,12500,2260088,289
12091908,12500,2260480,288
12104408,12500,2258047,288
12116908,12500,2256831,288
12129408,12500,2260602,289
12141908,12500,2259524,288
12154408,12500,2257144,288
12166908,12500,2257200,288
12179408,12500,2259480,289
12191912,12504,2260249,288
12204416,12504,2258429,288
12216916,12500,2257038,288
12229416,12500,2259864,288
12241916,12500,2259393,288
12254416,12500,2257871,288
12266920,12504,2257636,288
12279420,12500,2258923,288
12291920,12500,2259523,288
12304424,12504,2258554,288
12316924,12500,2257602,288
12329424,12500,2259407,288
12341928,12504,2259475,288
12354428,12500,2258402,288
12366928,12500,2257952,288
12379428,12500,2258513,289
12391928,12500,2259164,288
12404428,12500,2259038,288
12416928,12500,2258338,288
12429432,12504,2257976,288
12441932,12500,2259469,288
12454436,12504,2259017,288
12466940,12504,2257962,288
12479444,12504,2257970,288
12491944,12500,2258954,288
12504444,12500,2259469,288
12516948,12504,2258731,288
12529448,12500,2258045,288
12541956,12508,2259675,288
12554456,12500,2259386,288
12566956,12500,2258129,288
12579456,12500,2257930,288
12591956,12500,2259016,288
12604460,12504,2259487,288
12616960,12500,2258655,288
12629460,12500,2257809,288
12641964,12504,2258549,288
12654464,12500,2259366,288
12666964,12500,2258187,288
12679464,12500,2258106,288
12691964,12500,2259058,288
12704464,12500,2259483,288
12716964,12500,2258726,288
12729464,12500,2258045,288
12741968,12504,2258522,288
12754468,12500,2259330,288
12766968,12500,2258528,288
12779468,12500,2258361,288
12791968,12500,2258991,288
12804468,12500,2259313,288
12816968,12500,2258816,288
12829472,12504,2258313,288
12841976,12504,2258411,288
12854476,12500,2258977,288
12866976,12500,2258884,288
12879480,12504,2258524,288
12891980,12500,2258550,288
12904480,12500,2259241,288
12916980,12500,2259326,288
12929480,12500,2258523,288
12941980,12500,2258219,288
12954480,12500,2258774,288
12966980,12500,2259046,288
12979480,12500,2258362,288
12991980,12500,2258293,289
13004480,12500,2259029,288
13016980,12500,2259450,288
13029480,12500,2258719,288
13041980,12500,2258068,288
13054480,12500,2258642,288
13066980,12500,2259376,288
13079480,12500,2258515,288
13091980,12500,2258315,288
13104480,12500,2258822,288
13116984,12504,2259282,288
13129484,12500,2259146,288
13141988,12504,2258488,288
13154488,12500,2258275,288
13166988,12500,2259150,288
13179492,12504,2258904,288
13191992,12500,2258187,288
13204492,12500,2258502,288
13216992,12500,2259528,288
13229496,12504,2259471,288
13242000,12504,2258499,288
13254500,12500,2258334,288
13267000,12500,2259366,288
13279500,12500,2259796,288
13292000,12500,2258226,288
13304500,12500,2258833,288
13317000,12500,2259638,288
13329504,12504,2259496,288
13342008,12504,2258594,289
13354508,12500,2258338,288
13367008,12500,2259090,288
13379508,12500,2259545,288
13392008,12500,2258567,289
13404512,12504,2258819,288
13417012,12500,2259431,288
