Time (ms),Sensor 0 (raw),Sensor 1 (raw),Sensor 2 (raw)
3812,261,261,260
3816,256,256,256
3820,255,253,252
3824,256,253,250
3828,260,256,251
3832,266,261,256
3836,274,268,261
3840,278,272,266
3844,282,276,270
3848,283,279,274
3852,281,279,275
3856,277,275,272
3860,271,269,268
3864,265,264,263
3868,259,259,258
3872,257,255,254
3876,256,253,251
3880,260,256,252
3884,263,259,254
3888,270,264,259
3892,275,269,263
3896,280,274,268
3900,282,277,272
3904,281,278,274
3908,278,275,272
3912,273,270,268
3916,266,266,265
3920,261,261,260
3924,258,256,255
3928,257,254,252
3932,258,255,252
3936,262,258,254
3940,267,262,257
3944,273,267,261
3948,278,272,266
3952,281,276,270
3956,281,277,272
3960,278,275,272
3964,274,272,270
3968,270,269,267
3972,265,264,263
3976,261,259,258
3980,259,256,254
3984,259,256,254
3988,262,258,254
3992,265,260,256
3996,270,264,259
4000,274,269,264
4004,277,273,267
4008,279,274,269
4012,279,275,270
4016,276,274,270
4020,273,271,269
4024,269,267,265
4028,265,263,261
4032,262,260,259
4036,260,259,257
4040,261,258,256
4044,264,259,256
4048,267,262,258
4052,272,267,262
4056,274,270,265
4060,278,272,267
4064,279,275,270
4068,278,275,271
4072,275,273,270
4076,271,269,267
4080,266,265,263
4084,262,261,260
4088,259,258,256
4092,259,256,253
4096,260,256,253
4100,264,260,256
4104,269,264,259
4108,274,268,262
4112,278,273,267
4116,280,276,271
4120,280,277,272
4124,277,274,271
4128,272,270,268
4132,267,266,264
4136,262,261,260
4140,260,258,256
4144,258,256,253
4148,260,256,253
4152,263,260,256
4156,269,264,259
4160,274,268,262
4164,278,273,267
4168,280,276,271
4172,280,276,272
4176,277,274,271
4180,272,271,268
4184,268,267,265
4188,264,262,261
4192,260,258,257
4196,259,256,254
4200,260,257,254
4204,263,260,256
4208,268,263,258
4212,273,267,262
4216,277,272,267
4220,279,275,270
4224,279,276,271
4228,278,275,271
4232,273,272,269
4236,269,268,266
4240,264,263,262
4244,261,259,257
4248,259,257,255
4252,261,258,255
4256,264,260,256
4260,268,262,258
4264,273,268,262
4268,276,272,266
4272,279,274,269
4276,278,274,270
4280,277,273,270
4284,273,271,269
4288,269,268,266
4292,265,263,262
4296,262,261,259
4300,260,259,257
4304,261,258,256
4308,264,260,256
4312,267,262,258
4316,271,266,261
4320,274,269,264
4324,276,271,266
4328,277,273,268
4332,276,273,269
4336,273,271,268
4340,270,268,265
4344,267,265,262
4348,264,262,260
4352,263,261,258
4356,262,259,256
4360,263,259,256
4364,266,261,257
4368,268,264,260
4372,271,266,262
4376,274,269,264
4380,275,271,266
4384,275,272,268
4388,274,272,268
4392,273,269,266
4396,270,267,264
4400,268,266,263
4404,266,264,261
4408,264,261,258
4412,264,261,258
4416,265,262,259
4420,267,264,260
4424,270,265,261
4428,272,267,263
4432,273,270,265
4436,273,270,266
4440,274,270,266
4444,272,269,265
4448,270,268,265
4452,269,267,264
4456,267,264,262
4460,265,262,259
4464,264,262,259
4468,265,262,259
4472,266,262,259
4476,268,264,260
4480,270,266,262
4484,272,269,264
4488,274,270,266
4492,275,271,267
4496,274,271,267
4500,272,270,267
4504,270,268,265
4508,268,265,262
4512,266,263,260
4516,264,262,259
4520,264,262,258
4524,265,261,258
4528,267,263,259
4532,269,265,261
4536,272,268,263
4540,273,269,265
4544,275,270,266
4548,274,271,267
4552,273,270,267
4556,270,268,265
4560,268,266,263
4564,266,264,261
4568,265,263,260
4572,264,261,258
4576,265,261,258
4580,266,263,259
4584,269,266,261
4588,272,267,263
4592,274,269,264
4596,275,271,266
4600,275,272,268
4604,273,271,267
4608,272,269,266
4612,269,267,264
4616,266,265,262
4620,264,262,260
4624,262,260,257
4628,263,260,257
4632,265,262,258
4636,268,264,260
4640,271,266,261
4644,274,269,264
4648,276,272,267
4652,276,272,268
4656,274,271,268
4660,273,270,266
4664,269,268,265
4668,267,265,263
4672,264,262,260
4676,263,260,257
4680,264,260,257
4684,265,262,258
4688,268,264,260
4692,271,266,261
4696,273,269,264
4700,275,271,267
4704,276,271,267
4708,274,270,267
4712,273,270,266
4716,269,268,265
4720,267,265,263
4724,265,262,260
4728,264,261,258
4732,265,262,258
4736,266,262,259
4740,267,263,259
4744,270,265,260
4748,272,268,263
4752,273,270,265
4756,274,270,266
4760,273,270,266
4764,271,269,266
4768,270,268,265
4772,268,265,262
4776,266,263,260
4780,265,263,260
4784,265,262,259
4788,266,262,259
4792,268,263,259
4796,269,265,261
4800,271,268,263
4804,273,269,265
4808,274,269,265
4812,273,270,266
4816,272,269,266
4820,269,267,264
4824,268,265,262
4828,267,264,261
4832,266,264,261
4836,266,263,260
4840,266,263,259
4844,268,264,260
4848,269,266,262
4852,271,267,263
4856,272,268,264
4860,273,269,264
4864,272,269,265
4868,272,269,266
4872,271,268,265
4876,269,266,263
4880,268,266,262
4884,267,264,262
4888,266,263,260
4892,267,263,260
4896,268,264,260
4900,268,265,261
4904,270,266,262
4908,271,267,262
4912,271,268,264
4916,272,269,265
4920,272,269,265
4924,271,268,264
4928,270,267,264
4932,268,266,263
4936,268,265,262
4940,267,264,261
4944,267,264,260
4948,267,264,261
4952,267,264,260
4956,268,264,261
4960,270,265,261
4964,270,267,263
4968,271,268,264
4972,272,268,264
4976,271,268,264
4980,272,268,265
4984,271,268,264
4988,269,266,263
4992,269,265,262
4996,268,265,262
5000,267,265,261
