Times (us),interval (us),strain (raw),sensorValue0 (raw)
11872956,12500,2316089,292
11885460,12504,2309228,292
11897964,12504,2303866,292
11910468,12504,2303438,292
11922968,12500,2308116,292
11935472,12504,2314636,292
11947972,12500,2315801,292
11960472,12500,2309207,292
11972972,12500,2301667,292
11985476,12504,2308811,292
11997976,12500,2317069,292
12010476,12500,2318060,292
12022980,12504,2310986,292
12035480,12500,2302573,292
12047984,12504,2300585,292
12060488,12504,2306312,292
12072992,12504,2314183,292
12085492,12500,2316980,292
12097996,12504,2305359,292
12110496,12500,2301978,292
12123000,12504,2305240,292
12135500,12500,2312057,292
12148000,12500,2316348,292
12160500,12500,2314269,292
12173000,12500,2307382,292
12185504,12504,2301990,292
12198004,12500,2309687,292
12210504,12500,2315435,292
12223004,12500,2315437,292
12235504,12500,2310144,292
12248004,12500,2304190,292
12260508,12504,2303072,292
12273012,12504,2307669,292
12285512,12500,2313501,292
12298012,12500,2316703,292
12310512,12500,2319153,292
12323012,12500,2323831,292
12335512,12500,2327168,292
12348016,12504,2325303,292
12360516,12500,2314386,292
12373016,12500,2289601,292
12385516,12500,2264599,292
12398016,12500,2270246,292
12410516,12500,2299542,292
12423016,12500,2275959,292
12435516,12500,2264387,292
12448016,12500,2283271,292
12460520,12504,2300855,292
12473024,12504,2288344,292
12485524,12500,2267059,292
12498028,12504,2271840,292
12510532,12504,2297393,292
12523032,12500,2276461,292
12535532,12500,2266362,292
12548032,12500,2283225,292
12560536,12504,2299065,292
12573036,12500,2287885,292
12585536,12500,2268378,292
12598036,12500,2272721,292
12610540,12504,2293090,292
12623040,12500,2277175,292
12635544,12504,2267847,292
12648048,12504,2283122,292
12660548,12500,2297432,292
12673052,12504,2287475,292
12685552,12500,2270027,292
12698052,12500,2273952,292
12710552,12500,2292486,292
12723052,12500,2277496,292
12735552,12500,2269045,292
12748056,12504,2283139,292
12760556,12500,2296789,292
12773060,12504,2288017,292
12785560,12500,2271106,292
12798064,12504,2273229,292
12810564,12500,2290477,292
12823064,12500,2294273,292
12835568,12504,2270595,292
12848068,12500,2282209,292
12860568,12500,2294226,292
12873068,12500,2287090,292
12885572,12504,2273280,292
12898072,12500,2274756,292
12910576,12504,2287818,292
12923076,12500,2291112,292
12935576,12500,2273954,292
12948076,12500,2281662,292
12960580,12504,2290378,292
12973084,12504,2286191,292
12985584,12500,2276538,292
12998088,12504,2277001,292
13010588,12500,2286387,292
13023088,12500,2289318,292
13035588,12500,2281520,292
13048092,12504,2281163,292
13060596,12504,2288530,292
13073096,12500,2286018,292
13085596,12500,2278047,292
13098096,12500,2277670,292
13110596,12500,2285231,292
13123100,12504,2288468,292
13135600,12500,2282235,292
13148104,12504,2280851,292
13160604,12500,2287612,291
13173104,12500,2286241,292
13185604,12500,2279239,292
13198104,12500,2277730,292
13210604,12500,2283923,291
13223104,12500,2287857,292
13235604,12500,2283284,292
13248104,12500,2277992,292
13260604,12500,2286256,291
13273104,12500,2285992,292
13285604,12500,2280533,292
13298104,12500,2278745,292
13310608,12504,2283330,292
13323108,12500,2286637,292
13335612,12504,2283493,292
13348112,12500,2279269,292
13360616,12504,2285042,292
13373116,12500,2285418,292
13385616,12500,2281332,292
13398116,12500,2279450,292
13410616,12500,2282504,291
13423116,12500,2285400,292
13435616,12500,2283816,292
13448116,12500,2280425,292
13460616,12500,2280439,291
