"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.919025667E0,3.972221754E0,6.320892161E0,2.037120817E0,7.738351542E0
2.928977667E0,1.601624580E0,3.284779812E0,1.955703017E0,4.144846680E0
2.938929667E0,-1.424537415E0,1.521778219E0,2.091275974E0,2.952719254E0
2.948882667E0,-1.759071825E0,-1.598301315E-1,1.586190562E0,2.374000812E0
2.958834667E0,-1.658153415E-1,-4.218263233E-1,8.857923603E-1,9.950177285E-1
2.968786667E0,1.316113080E0,1.533144037E0,7.081030780E-1,2.141049800E0
2.978738667E0,1.864041041E0,3.370584778E0,-7.524004143E-1,3.924486862E0
2.988691667E0,1.725092778E0,4.077856967E0,-2.079402618E0,4.891704997E0
2.998643667E0,9.620406371E-1,3.065886371E0,-1.220050782E0,3.437107117E0
3.008595667E0,-3.013423982E-1,9.381635320E-1,9.486481744E-1,1.367805327E0
3.018547667E0,-2.440976600E0,7.894542199E-1,1.012150691E0,2.757907494E0
3.028500667E0,-2.957217037E0,1.310500191E0,2.404164577E-1,3.243507890E0
3.038452667E0,-2.745835513E0,1.747814035E0,8.628794611E-1,3.367347254E0
3.048404667E0,-2.675734999E0,1.896555507E0,9.338588119E-1,3.410069333E0
3.058356667E0,-4.311540356E0,-6.738682151E-2,9.427001674E-2,4.313097270E0
3.068309667E0,-6.719723139E0,-4.931556299E0,2.108305990E0,8.597667169E0
3.078261667E0,-6.251275796E0,-9.987329679E0,2.280231671E0,1.200102744E1
3.088213667E0,-7.691198843E0,-1.119715953E1,2.104049217E0,1.374619745E1
3.098165667E0,-2.961221795E0,-1.152388440E1,1.573750026E0,1.200189299E1
3.108118667E0,-7.022141279E-1,-9.889218078E0,1.951537460E0,1.010436724E1
3.118070667E0,5.607009841E-1,-6.005512059E0,-5.441711247E-1,6.056127715E0
3.128022667E0,2.606588166E0,-1.826356759E0,-1.017789818E0,3.341523154E0
3.137974667E0,1.653511164E0,-1.611883813E0,-1.306631674E0,2.653215959E0
3.147927667E0,6.385815842E-1,1.478462631E-1,-4.138076856E0,4.189668844E0
3.157879667E0,4.413511265E-1,4.495181519E-1,-4.816417022E0,4.857440716E0
3.167831667E0,9.054287723E-1,1.750973870E0,-3.098551841E0,3.672428933E0
