"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.361500250E0,1.744322662E0,9.848320312E0,-8.533753967E-1,1.003794422E1
2.371453250E0,1.791324921E0,9.751022644E0,-9.699829102E-1,9.961533738E0
2.381405250E0,2.070494385E0,9.555379486E0,-1.249900818E0,9.856697022E0
2.391358250E0,2.216291199E0,9.777966614E0,-5.849835205E-1,1.004304652E1
2.401310250E0,2.099533997E0,9.898466034E0,-3.897894287E-1,1.012618431E1
2.411263250E0,1.901944885E0,9.976453857E0,-4.141886902E-1,1.016457467E1
2.421216250E0,1.696422272E0,9.762099609E0,-6.649172974E-1,9.930687404E0
2.431168250E0,1.184935913E0,9.745484161E0,-5.685177612E-1,9.833704648E0
2.441121250E0,8.509803772E-1,9.360634460E0,-9.518705750E-1,9.447311930E0
2.451074250E0,1.740879822E0,7.806117096E0,-3.315754852E0,8.657964940E0
2.461026250E0,2.218386841E0,9.012009430E0,-4.487667847E-1,9.291875256E0
2.470979250E0,3.239712982E0,8.400231628E0,2.821632385E-1,9.007732662E0
2.480932250E0,3.812721405E0,9.119635620E0,1.565893707E0,1.000782801E1
2.490884250E0,3.755690002E0,8.538843384E0,1.670675812E0,9.476719443E0
2.500837250E0,3.159030762E0,9.071136475E0,1.453028412E0,9.714745692E0
2.510789250E0,3.391946411E0,7.775730286E0,-8.297245789E-1,8.523832753E0
2.520742250E0,3.120560760E0,8.869056702E0,-3.879781952E0,1.017107537E1
2.530695250E0,3.084336090E0,1.023676254E1,-5.251080322E0,1.191126698E1
2.540647250E0,2.800825653E0,1.034319122E1,-5.175487518E0,1.190007983E1
2.550600250E0,1.711540833E0,1.090422455E1,-5.626349945E0,1.238899910E1
2.560553250E0,5.665718079E-1,1.076231964E1,-5.609135742E0,1.214952392E1
2.570505250E0,-2.642005920E-1,1.041309586E1,-4.622986450E0,1.139624372E1
2.580458250E0,-4.514611816E-1,9.527238007E0,-3.112926636E0,1.003306501E1
2.590410250E0,-1.922003174E-1,9.634714508E0,-3.382216644E0,1.021293562E1
2.600363250E0,-8.831634521E-3,9.372609558E0,-2.704276428E0,9.754947408E0
2.610316250E0,-1.252894592E-1,9.761800232E0,-1.799857178E0,9.927130858E0
2.620268250E0,-6.526428223E-2,9.576635284E0,-1.952090607E0,9.773784351E0
2.630221250E0,3.094065857E-1,9.312135315E0,-1.450783081E0,9.429547609E0
2.640174250E0,7.036866760E-1,8.704997864E0,-8.544232178E-1,8.775089845E0
2.650126250E0,1.162332916E0,8.648265839E0,1.932481384E-1,8.728165023E0
2.660079250E0,1.494941254E0,9.197174377E0,1.260379028E0,9.402734771E0
2.670031250E0,1.582958221E0,1.084734283E1,2.626737671E0,1.127254870E1
2.679984250E0,1.799707489E0,1.071651489E1,1.532363434E0,1.097409569E1
2.689937250E0,-2.086660767E-1,1.320479050E1,1.364113312E0,1.327670286E1
2.699889250E0,-1.340462494E0,1.191103088E1,1.510658569E0,1.208104241E1
2.709842250E0,-3.382965088E-1,9.646988983E0,-2.110610962E-1,9.655225930E0
2.719795250E0,4.858895874E-1,9.151818695E0,-9.663903809E-1,9.215518677E0
2.729747250E0,6.328839111E-1,8.518336029E0,-5.926176453E-1,8.562347016E0
2.739700250E0,6.851252747E-1,8.300239563E0,7.679031372E-2,8.328821657E0
2.749652250E0,2.556683350E-1,8.642727356E0,5.430706787E-1,8.663545937E0
2.759605250E0,-7.150630188E-1,9.295220490E0,1.597627716E0,9.458586226E0
2.769558250E0,-2.280058594E0,9.621092834E0,2.647245026E0,1.023581950E1
2.779510250E0,-2.775677948E0,1.379067215E1,2.203867035E0,1.423882215E1
2.789463250E0,-1.350940704E0,1.185370010E1,-3.818858643E0,1.252672855E1
2.799416250E0,1.207538910E0,9.144034882E0,-7.617209930E0,1.196216583E1
2.809368250E0,3.857777710E0,9.101972351E0,2.364782410E0,1.016467144E1
2.819321250E0,3.829336853E0,8.033943329E0,1.064286804E-1,8.900527693E0
2.829273250E0,3.812122650E0,9.258995819E0,-5.504054260E-1,1.002817176E1
2.839226250E0,3.798500977E0,9.540859680E0,-1.131646729E0,1.033137152E1
2.849179250E0,3.297492828E0,9.602830811E0,-2.215842133E0,1.039219779E1
2.859131250E0,2.773432617E0,9.313033447E0,-2.411485291E0,1.001198191E1
2.869084250E0,2.303559723E0,9.070687408E0,-1.882185974E0,9.546013906E0
2.879037250E0,1.771116943E0,9.015901337E0,-1.965263214E0,9.396041275E0
2.888989250E0,1.828298035E0,9.446256409E0,-1.805994415E0,9.789588841E0
2.898942250E0,2.009870453E0,9.954000549E0,-1.584754486E0,1.027779903E1
2.908895250E0,1.880539398E0,1.068702621E1,-1.346000977E0,1.093438047E1
2.918847250E0,2.048041077E0,1.124461670E1,-1.248254242E0,1.149756564E1
2.928800250E0,2.505938873E0,1.117336487E1,-1.329834595E0,1.152789105E1
2.938752250E0,2.790048065E0,1.080782501E1,-1.340911560E0,1.124239714E1
2.948705250E0,2.952909393E0,1.046473846E1,-1.414408722E0,1.096498869E1
2.958658250E0,2.689157867E0,1.004366409E1,-1.529669037E0,1.050935991E1
2.968610250E0,2.181713104E0,9.654473419E0,-1.483415222E0,1.000845891E1
2.978563250E0,1.812880096E0,9.173822937E0,-1.100212097E0,9.415733014E0
2.988516250E0,1.799707489E0,8.789122925E0,-1.024319916E0,9.029776305E0
2.998468250E0,1.858684845E0,8.461005249E0,-8.967851257E-1,8.709049474E0
3.008421250E0,1.833237762E0,8.388705597E0,-5.477110291E-1,8.604134451E0
3.018373625E0,1.644330597E0,8.657696228E0,-3.650907898E-1,8.820023717E0
3.028326625E0,1.428479462E0,9.199719086E0,-4.840933228E-1,9.322538880E0
3.038279625E0,1.305285645E0,9.745933228E0,-7.556286621E-1,9.861945029E0
3.048231625E0,1.326691132E0,1.024200165E1,-8.783734131E-1,1.036485634E1
3.058184625E0,1.459465027E0,1.047686325E1,-1.302591248E0,1.065792877E1
3.068137625E0,1.683399353E0,1.039154068E1,-1.550475769E0,1.064057922E1
3.078089625E0,1.969155121E0,1.030112869E1,-1.251248016E0,1.056202849E1
3.088042625E0,2.048190765E0,1.007225464E1,-9.072633362E-1,1.031835867E1
3.097994625E0,2.037562866E0,9.759704590E0,-7.369175720E-1,9.997326824E0
3.107947625E0,1.957329712E0,9.318122864E0,-7.304809570E-1,9.549458400E0
3.117900625E0,1.733245697E0,8.978628845E0,-7.505392456E-1,9.175141729E0
3.127852625E0,1.621577911E0,8.853040009E0,-8.753796387E-1,9.042793917E0
3.137805625E0,1.538201294E0,8.893006897E0,-5.918692017E-1,9.044442716E0
3.147758625E0,1.458267517E0,8.983418884E0,-3.653901672E-1,9.108340627E0
3.157710625E0,1.206042023E0,9.072783051E0,-3.207829285E-1,9.158211142E0
3.167663625E0,1.054557037E0,9.042396240E0,-4.180805969E-1,9.113276672E0
3.177615625E0,9.430389404E-1,9.149273987E0,-4.532574463E-1,9.208907603E0
3.187568625E0,8.646020508E-1,9.088949432E0,-6.295907593E-1,9.151662309E0
3.197521625E0,7.403604126E-1,8.959169312E0,-5.770500183E-1,9.008209312E0
3.207473625E0,7.864645386E-1,8.720715179E0,-4.939727783E-1,8.770029009E0
3.217426625E0,8.569679260E-1,8.542735291E0,-5.255570984E-1,8.601681843E0
3.227379625E0,7.366181946E-1,8.448281708E0,-5.219645691E-1,8.496382594E0
3.237331625E0,9.541159058E-1,8.434210968E0,-7.188052368E-1,8.518387922E0
3.247284625E0,1.266965332E0,8.727750549E0,-7.740403748E-1,8.853133304E0
