"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.916544667E0,2.052681427E0,9.404493256E0,1.996997223E0,9.830869359E0
2.926497667E0,1.245859222E0,9.223669281E0,2.373913422E0,9.605399791E0
2.936451667E0,5.230123901E-1,9.181157684E0,2.623743896E0,9.563013668E0
2.946404667E0,-6.526428223E-2,9.530980225E0,2.649190979E0,9.892525275E0
2.956358667E0,-3.664379883E-1,9.962233429E0,1.609752502E0,1.009810254E1
2.966311667E0,-9.565109253E-2,9.380692749E0,9.304650879E-1,9.427211192E0
2.976264667E0,1.544787598E-1,9.321865082E0,5.390290833E-1,9.338714293E0
2.986218667E0,-2.245330811E-1,1.007195526E1,-4.854405212E-1,1.008614646E1
2.996171667E0,-2.408491516E-1,1.044363235E1,-2.335144043E-2,1.044643529E1
3.006125667E0,1.591191101E-1,1.033106644E1,8.740324402E-1,1.036919405E1
3.016078667E0,7.833210754E-1,1.042432251E1,1.528920593E0,1.056492735E1
3.026032667E0,9.264234924E-1,1.119956039E1,8.581654358E-1,1.127053066E1
3.035985667E0,1.170266418E0,1.030157776E1,9.068142700E-1,1.040741754E1
3.045939667E0,1.476080475E0,9.312285004E0,1.459614716E0,9.540856391E0
3.055892667E0,1.319805450E0,9.147178345E0,1.840422821E0,9.423370642E0
3.065846667E0,9.912387085E-1,8.772507477E0,2.286345520E0,9.119584280E0
3.075799667E0,3.034190369E-1,7.904163208E0,2.143841858E0,8.195359482E0
3.085752667E0,-2.002835083E-1,7.910599823E0,2.201322327E0,8.213618145E0
3.095706667E0,-4.029620361E-1,8.227490845E0,3.159779205E0,8.822595345E0
3.105659667E0,-7.376660156E-1,9.000782776E0,2.778072968E0,9.448594136E0
3.115613667E0,-3.695814514E-1,1.002210892E1,3.113675079E0,1.050115375E1
3.125566667E0,1.529818726E-1,1.012644196E1,2.857258301E0,1.052293472E1
3.135520667E0,8.704399109E-1,9.467063141E0,1.003812561E0,9.559842562E0
3.145473667E0,1.039288788E0,1.068867279E1,1.453477478E0,1.083699423E1
3.155427667E0,1.255738678E0,1.096948883E1,1.766626282E0,1.118157114E1
3.165380667E0,1.602268066E0,1.010324020E1,2.080673218E0,1.043896195E1
3.175333667E0,1.425635376E0,9.762698364E0,1.891316986E0,1.004588451E1
3.185287667E0,1.973196716E0,1.000354752E1,1.844165039E0,1.036172828E1
3.195240667E0,2.131268005E0,9.816436615E0,1.015637970E0,1.009634843E1
3.205194667E0,1.430874481E0,9.293723602E0,-6.710545349E-1,9.427142428E0
3.215147667E0,7.973918152E-1,8.173902283E0,4.490661621E-3,8.212705547E0
3.225101667E0,1.336720276E-1,8.042325897E0,2.105222168E0,8.314375167E0
3.235054667E0,-2.216889954E-1,8.885672150E0,3.333418121E0,9.492944324E0
3.245008667E0,3.799099731E-1,8.866062927E0,3.231480103E0,9.444250477E0
3.254961667E0,1.538350983E0,9.176068268E0,2.260748749E0,9.574849216E0
